"director_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
741;4382373;"Amaya Villar Navascués";"";"";"";"";""
742;3613358;"Dani Llamas";"";"";"";"";""
743;5312607;"Luisje Moyano";"";"";"";"";""
744;77122;"María Valverde";"mujer";"tmdb";"ES";"tmdb_heuristico";""
745;4458312;"Pedro Aguilera";"";"";"";"";""
746;1373415;"Francisco Sánchez Varela";"hombre";"tmdb";"ES";"tmdb_heuristico";""
747;6360702;"David Matamoros Manteca";"hombre";"manual";"ES";"manual";""
748;3014975;"Igna L. Vacas";"";"";"";"";""
749;3035095;"Saúl Pérez Ruano";"";"";"";"";""
750;2460724;"Javier Kühn";"";"";"";"";""
751;129304;"Michela Andreozzi";"mujer";"tmdb";"IT";"tmdb_heuristico";""
752;1023088;"Margarita Alexandre";"mujer";"tmdb";"ES";"tmdb_heuristico";""
753;1269221;"Rafael María Torrecilla";"";"";"";"";""
754;1152112;"Gonzalo García-Pelayo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
755;4940708;"Juanma Arizmendi";"";"";"";"";""
756;131416;"Sean Patrick O'Reilly";"hombre";"tmdb";"CA";"tmdb_heuristico";""
757;3696892;"Rosa García Loire";"mujer";"tmdb";"";"";""
758;4019075;"Carlos Prado Pampín";"";"";"";"";""
759;1521812;"Clara Martínez-Lázaro Alameda";"";"";"";"";""
760;5052862;"Gonzalo Perdomo-Tafur";"hombre";"manual";"CO";"manual";""
761;2518741;"Enrique Bernal";"";"";"";"";""
762;2429078;"Bernabé Bulnes";"";"";"";"";""
763;4701508;"Iratxe Pérez Barandalla";"";"";"";"";""
764;1817184;"Pedro Collantes";"hombre";"tmdb";"ES";"wikidata";""
765;239202;"Luis Marquina";"hombre";"tmdb";"ES";"tmdb_heuristico";""
766;1192582;"Enric Miró";"";"";"";"";""
767;2190612;"Hugo Cabezas";"";"";"";"";""
768;2190613;"Alejandro Toro";"";"";"";"";""
769;3190577;"Jacob Santana";"hombre";"manual";"ES";"manual";""
770;1382887;"Pedro Lendínez";"hombre";"tmdb";"ES";"tmdb_heuristico";""
771;4577797;"Guillermo Barreira";"";"";"";"";""
772;4657428;"Javier Horcajada";"";"";"";"";""
773;4808400;"Antonio Martín";"";"";"";"";""
774;1510695;"Alex Guimerà";"";"";"";"";""
775;2406842;"Guillem Ventura";"";"";"";"";""
776;1525660;"Imanol Zinkunegi";"hombre";"tmdb";"ES";"tmdb_heuristico";""
777;2525861;"Joseba Ponce";"hombre";"tmdb";"";"";""
778;5800608;"Alfonso Aguado";"";"";"";"";""
779;6003707;"Julio Espinosa";"";"";"";"";""
780;4513433;"Albert Naudín";"";"";"";"";""
781;34264;"Marco Ferreri";"hombre";"tmdb";"IT";"tmdb_heuristico";""
782;1780288;"Kiko Prada";"hombre";"wikidata";"ES";"wikidata";""
783;2889301;"Raul Alaejos";"";"";"";"";""
784;3202577;"María Zanetti";"mujer";"manual";"AR";"manual";""
785;5709831;"Alejandro Enríquez";"";"";"";"";""
786;3795890;"Pablo Casanueva";"";"";"";"";""
787;1305491;"Daniel San Román";"hombre";"tmdb";"ES";"tmdb_heuristico";""
788;3613698;"Jose Texeira";"";"";"";"";""
789;6377040;"Eduardo Muñoz";"";"";"";"";""
790;5456803;"Josè del Corral";"hombre";"manual";"ES";"manual";""
791;95972;"Hans Petter Moland";"hombre";"tmdb";"NO";"tmdb_heuristico";""
792;85234;"Salvador del Solar";"hombre";"tmdb";"PE";"wikidata";""
793;4093273;"Júlia Girós";"";"";"";"";""
794;4093274;"Pol Picas";"";"";"";"";""
795;71522;"Juan Antonio Bardem";"hombre";"tmdb";"ES";"tmdb_heuristico";""
796;1164105;"Chema Rodríguez";"hombre";"wikidata";"ES";"wikidata";""
797;237482;"Raúl Alfonso";"hombre";"tmdb";"CU";"tmdb_heuristico";""
798;566294;"Patricio Guzmán";"hombre";"tmdb";"CL";"tmdb_heuristico";""
